Name,Latitude,Longitude,Hole,Mens Par,Ladies Par,Mens Handicap,Ladies Handicap,Gold,Blue,Fairmont,White
Fairmont Chateau Whistler Golf Club,50.130467,-122.931882,1,5,5,11,11,505,482,482,449
,,,2,4,4,15,15,326,298,298,266
,,,3,4,4,3,3,399,387,342,342
,,,4,4,4,7,7,411,402,362,362
,,,5,3,3,17,17,190,163,144,144
,,,6,4,4,1,1,457,436,411,411
,,,7,5,5,5,5,538,507,507,484
,,,8,3,3,13,13,212,184,158,158
,,,9,5,5,9,9,472,449,449,426
,,,10,3,3,18,18,131,118,118,92
,,,11,4,4,8,8,355,332,332,301
,,,12,4,4,4,4,395,376,343,343
,,,13,4,4,14,14,349,324,324,304
,,,14,4,4,12,12,352,330,330,285
,,,15,4,4,10,10,389,366,351,351
,,,16,3,3,16,16,167,142,142,110
,,,17,4,4,2,2,445,424,366,366
,,,18,5,5,6,6,543,523,523,498
