Name,Latitude,Longitude,Hole,Mens Par,Ladies Par,Mens Handicap,Ladies Handicap,Championship,Regular,Forward
Surrey Golf Course,49.142116,-122.756506,1,4,4,,,406,387,338
,,,2,4,4,,,459,450,442
,,,3,3,3,,,178,161,144
,,,4,5,5,,,509,495,419
,,,5,4,4,,,318,309,288
,,,6,3,3,,,190,170,135
,,,7,4,4,,,375,368,362
,,,8,4,4,,,403,375,359
,,,9,5,5,,,50,490,425
,,,10,4,4,,,446,387,425
,,,11,4,4,,,384,450,425
,,,12,5,5,,,545,161,350
,,,13,3,3,,,158,495,487
,,,14,4,4,,,346,309,139
,,,15,4,4,,,417,170,338
,,,16,3,3,,,198,368,400
,,,17,4,4,,,337,375,156
,,,18,5,5,,,630,490,284
