Name,Latitude,Longitude,Hole,Mens Par,Ladies Par,Mens Handicap,Ladies Handicap,Blue,White,Yellow,Red
The Vancouver Golf Club,49.249162,-122.8772,1,4,4,,,396,380,368,364
,,,2,4,4,,,371,345,339,336
,,,3,3,3,,,162,142,122,112
,,,4,4,4,,,351,332,314,259
,,,5,4,4,,,348,338,317,311
,,,6,5,5,,,620,605,569,465
,,,7,3,3,,,192,172,158,140
,,,8,4,4,,,372,343,333,327
,,,9,4,4,,,350,335,322,258
,,,10,5,5,,,515,502,432,429
,,,11,4,4,,,366,358,351,346
,,,12,3,3,,,195,178,157,154
,,,13,5,5,,,526,511,493,399
,,,14,4,4,,,380,368,345,340
,,,15,4,4,,,415,375,345,302
,,,16,4,4,,,405,390,349,349
,,,17,4,4,,,398,383,332,330
,,,18,4,5,,,438,424,406,403
