Name,Latitude,Longitude,Hole,Mens Par,Ladies Par,Mens Handicap,Ladies Handicap,Blue,White,Red,Black,Mens Blue Ratings,Mens Blue Slope,Mens White Ratings,Mens White Slope,Mens Red Ratings,Mens Red Slope,Mens Black Ratings,Mens Black Slope
University Golf Club,49.2637,-123.228102,1,5,5,5,3,509,481,339,449,71.6,128,69.2,124,66.8,123,64.5,119
,,,2,4,4,1,1,426,399,377,310,,,,,,,,
,,,3,3,3,17,17,114,97,80,80,,,,,,,,
,,,4,4,4,3,5,421,403,378,317,,,,,,,,
,,,5,5,5,9,7,448,436,421,345,,,,,,,,
,,,6,4,4,11,11,368,344,327,327,,,,,,,,
,,,7,3,3,13,15,196,177,154,154,,,,,,,,
,,,8,4,4,15,13,350,328,293,293,,,,,,,,
,,,9,4,4,7,9,396,383,370,298,,,,,,,,
,,,10,4,4,10,10,408,393,373,334,,,,,,,,
,,,11,3,3,12,16,170,145,124,124,,,,,,,,
,,,12,4,4,8,4,395,368,340,340,,,,,,,,
,,,13,5,5,2,6,515,482,406,374,,,,,,,,
,,,14,4,4,16,12,374,355,336,336,,,,,,,,
,,,15,4,4,4,8,418,401,378,310,,,,,,,,
,,,16,3,3,18,18,146,128,110,110,,,,,,,,
,,,17,5,5,6,2,520,507,476,398,,,,,,,,
,,,18,4,4,14,14,367,320,293,293,,,,,,,,
